585	chrY	0	10000	1	N	10000	telomere	no
585	chrY	44821	94821	3	N	50000	contig	no
586	chrY	181384	231384	7	N	50000	contig	no
592	chrY	997557	1047557	15	N	50000	contig	no
593	chrY	1084113	1134113	17	N	50000	contig	no
594	chrY	1214234	1264234	20	N	50000	contig	no
600	chrY	2018238	2068238	30	N	50000	contig	no
653	chrY	8914955	8964955	92	N	50000	contig	no
655	chrY	9241322	9291322	97	N	50000	contig	no
10	chrY	10104553	13104553	105	N	3000000	centromere	no
685	chrY	13143954	13193954	107	N	50000	contig	no
86	chrY	13748578	13798578	112	N	50000	contig	no
92	chrY	20143885	20193885	169	N	50000	clone	yes
94	chrY	22369679	22419679	190	N	50000	clone	yes
767	chrY	23901428	23951428	204	N	50000	contig	no
1	chrY	28819361	58819361	249	N	30000000	heterochromatin	no
1034	chrY	58917656	58967656	251	N	50000	contig	no
1037	chrY	59363566	59373566	255	N	10000	telomere	no
