585	chrX	0	10000	1	N	10000	telomere	no
585	chrX	10000	60000	2	N	50000	contig	no
73	chrX	94821	144821	4	N	50000	contig	no
73	chrX	231384	281384	8	N	50000	contig	no
9	chrX	1047557	1097557	16	N	50000	contig	no
74	chrX	1134113	1184113	18	N	50000	contig	no
74	chrX	1264234	1314234	21	N	50000	contig	no
9	chrX	2068238	2118238	31	N	50000	contig	no
643	chrX	7623882	7673882	82	N	50000	clone	yes
83	chrX	10738674	10788674	111	N	50000	clone	yes
868	chrX	37098256	37148256	355	N	50000	contig	no
14	chrX	49242997	49292997	484	N	50000	contig	no
966	chrX	49974173	50024173	494	N	50000	contig	no
15	chrX	52395914	52445914	518	N	50000	contig	no
128	chrX	58582012	58632012	582	N	50000	clone	no
1	chrX	58632012	61632012	583	N	3000000	centromere	no
1055	chrX	61632012	61682012	584	N	50000	clone	no
146	chrX	76653692	76703692	724	N	50000	contig	no
1451	chrX	113517668	113567668	1183	N	50000	contig	no
1467	chrX	115682290	115732290	1214	N	50000	contig	no
187	chrX	120013235	120063235	1268	N	50000	clone	yes
209	chrX	143507324	143557324	1536	N	50000	contig	no
1721	chrX	148906424	148956424	1591	N	50000	clone	yes
1722	chrX	149032062	149082062	1594	N	50000	contig	no
218	chrX	152277099	152327099	1624	N	50000	clone	yes
1769	chrX	155260560	155270560	1668	N	10000	telomere	no
