585	chr8	0	10000	1	N	10000	telomere	no
642	chr8	7474649	7524649	66	N	50000	contig	no
677	chr8	12091854	12141854	105	N	50000	contig	no
14	chr8	43838887	46838887	376	N	3000000	centromere	no
952	chr8	48130499	48135599	389	N	5100	contig	no
155	chr8	86576451	86726451	716	N	150000	contig	no
1674	chr8	142766515	142816515	1177	N	50000	clone	yes
211	chr8	145332588	145432588	1209	N	100000	contig	no
1701	chr8	146304022	146354022	1216	N	50000	contig	no
1701	chr8	146354022	146364022	1217	N	10000	telomere	no
