585	chr6	0	10000	1	N	10000	telomere	no
585	chr6	10000	60000	2	N	50000	contig	no
1028	chr6	58087659	58137659	620	N	50000	clone	yes
1033	chr6	58780166	58830166	627	N	50000	clone	no
16	chr6	58830166	61830166	628	N	3000000	centromere	no
16	chr6	61830166	61880166	629	N	50000	clone	no
1059	chr6	62128589	62178589	633	N	50000	clone	yes
164	chr6	95680543	95830543	992	N	150000	contig	no
1787	chr6	157559467	157609467	1652	N	50000	clone	yes
223	chr6	157641300	157691300	1654	N	50000	clone	yes
233	chr6	167942073	168042073	1761	N	100000	clone	yes
1884	chr6	170279972	170329972	1787	N	50000	clone	yes
1890	chr6	171055067	171105067	1797	N	50000	contig	no
1890	chr6	171105067	171115067	1798	N	10000	telomere	no
