585	chrX	34821	84821	2	N	50000	contig	no
586	chrX	171384	201384	6	N	30000	contig	no
592	chrX	967557	1017557	14	N	50000	contig	no
593	chrX	1054113	1104113	16	N	50000	contig	no
594	chrX	1184234	1274234	19	N	90000	contig	no
9	chrX	2028238	2128238	29	N	100000	contig	no
867	chrX	37008177	37033177	351	N	25000	contig	no
119	chrX	49129941	49179941	480	N	50000	contig	no
120	chrX	49860913	50040913	490	N	180000	contig	no
15	chrX	52412639	52462639	514	N	50000	contig	no
1	chrX	58598737	61598737	578	N	3000000	centromere	no
1169	chrX	76570348	76590348	717	N	20000	contig	no
1450	chrX	113403924	113473924	1177	N	70000	contig	no
183	chrX	115596318	115616318	1208	N	20000	contig	no
1678	chrX	143335010	143365010	1531	N	30000	contig	no
1720	chrX	148792720	148832720	1586	N	40000	contig	no
