594	chr2	1254071	1255071	16	N	1000	clone	no
76	chr2	3507187	3557187	39	N	50000	clone	no
623	chr2	4983316	5083316	52	N	100000	clone	no
708	chr2	16171403	16221403	147	N	50000	clone	no
745	chr2	21012571	21037571	188	N	25000	clone	no
158	chr2	89411551	89561551	747	N	150000	clone	no
19	chr2	89958830	90958830	751	N	1000000	heterochromatin	no
2	chr2	91689898	94689898	758	N	3000000	centromere	no
1327	chr2	97284347	97296847	779	N	12500	clone	no
177	chr2	109470304	109612304	881	N	142000	clone	no
178	chr2	110348650	110498650	888	N	150000	clone	no
178	chr2	110858548	111008548	892	N	150000	clone	no
215	chr2	149398828	149498828	1208	N	100000	clone	no
2368	chr2	233711985	233731985	1925	N	20000	clone	no
2411	chr2	239420971	239453971	1975	N	33000	clone	no
301	chr2	239466915	239496915	1977	N	30000	clone	no
2419	chr2	240449069	240474069	1986	N	25000	clone	no
304	chr2	242751149	242951149	2010	N	200000	telomere	no
